City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,charters towers,-20.1,146.2667,21.88,83,87,4.75,AU,1731433007
276,newman,37.3138,-121.0208,13.82,61,3,2.5,US,1731433008
277,salalah,17.0151,54.0924,26.05,53,0,1.54,OM,1731433009
278,nuuk,64.1835,-51.7216,-0.66,74,75,9.26,GL,1731433010
279,raduzhny,62.0961,77.475,-19.9,95,99,3.4,RU,1731433011
280,serov,59.6033,60.5787,-8.2,98,81,1.64,RU,1731433012
281,tolanaro,-25.0319,46.9987,25.04,83,20,1.03,MG,1731433013
282,sabang,5.8933,95.3214,28.61,70,93,1.67,ID,1731433014
283,mentekab,3.4854,102.3484,23.86,99,100,0.45,MY,1731433015
284,luchegorsk,46.4764,134.2569,-4.17,71,0,2.05,RU,1731433017
285,sianow,54.2265,16.2913,5.69,75,73,0.26,PL,1731433018
286,goondiwindi,-28.55,150.3167,21.94,81,28,2.96,AU,1731433019
287,tshabong,-26.05,22.45,28.21,9,0,3.44,BW,1731433021
288,lubang,13.8584,120.124,28.21,75,32,1.14,PH,1731433023
289,celestun,20.8667,-90.4,27.21,75,52,3.62,MX,1731433024
290,onega,63.9061,38.1404,-0.37,93,87,2.06,RU,1731433026
291,steinkjer,64.193,11.3851,8.05,91,100,5.48,NO,1731433027
292,phek,25.6667,94.5,12.25,98,99,0.69,IN,1731433028
293,bashmakovo,53.2133,43.0342,-0.91,83,55,2.66,RU,1731433029
294,hasaki,35.7333,140.8333,18.71,84,24,5.17,JP,1731432938
295,acapulco de juarez,16.8634,-99.8901,29.9,74,0,4.12,MX,1731433031
296,juan griego,11.0817,-63.9655,29.19,68,100,4.7,VE,1731433032
297,kongsberg,59.6652,9.6465,3.87,73,100,0.96,NO,1731433033
298,sao joao da barra,-21.6403,-41.0511,33.05,79,2,5.36,BR,1731433034
299,nuku'alofa,-21.1333,-175.2,22.19,94,100,6.17,TO,1731433035
300,pauini,-7.7136,-66.9764,25.76,87,93,3.45,BR,1731433037
301,mitrofanovka,49.9708,39.6939,1.05,70,25,1.88,RU,1731433038
302,san ignacio de velasco,-16.3667,-60.95,28.49,47,98,4.32,BO,1731433039
303,katabu,-4.9333,122.5167,23.32,96,26,0.47,ID,1731433040
304,new norfolk,-42.7826,147.0587,13.73,76,61,1.15,AU,1731433041
305,belokurikha,51.9959,84.9896,-10.65,86,22,2.35,RU,1731433042
306,sola,-13.8833,167.55,26.65,81,68,7.95,VU,1731433043
307,swakopmund,-22.6833,14.5333,16.1,81,54,4.02,NA,1731433044
308,luancheng,37.8792,114.6517,12.35,89,100,1.73,CN,1731433045
309,aasiaat,68.7098,-52.8699,-7.33,87,96,5.84,GL,1731433046
310,kingston,17.997,-76.7936,31.76,74,20,3.6,JM,1731432911
311,narayanpet,16.7333,77.5,23.36,68,49,3.77,IN,1731433049
312,timbuktu,16.7735,-3.0074,29.45,12,83,3.28,ML,1731433050
